SUCCESS;1 1522752956.442415 1522752956.444728 1522752956.444734 1522752956.444835;0.0024137496948242188,0.0011060237884521484;1522752956.444851
SUCCESS;2 1522752966.444157 1522752966.445404 1522752966.445413 1522752966.445547;0.0013811588287353516,0.0005565881729125977;1522752966.446691
SUCCESS;3 1522752976.446885 1522752976.448029 1522752976.448035 1522752976.448126;0.0012350082397460938,0.00052642822265625;1522752976.4487185
SUCCESS;4 1522752986.447683 1522752986.448776 1522752986.448784 1522752986.448929;0.0012378692626953125,0.00047397613525390625;1522752986.4494925
SUCCESS;5 1522752996.447797 1522752996.448704 1522752996.44871 1522752996.448825;0.0010218620300292969,0.0003960132598876953;1522752996.4493923
SUCCESS;6 1522753006.447947 1522753006.448897 1522753006.448906 1522753006.449028;0.001071929931640625,0.0004138946533203125;1522753006.449477
SUCCESS;7 1522753016.448396 1522753016.449402 1522753016.449408 1522753016.449496;0.0010941028594970703,0.0004590749740600586;1522753016.44993
SUCCESS;8 1522753026.452038 1522753026.452987 1522753026.452994 1522753026.453108;0.0010628700256347656,0.00041747093200683594;1522753026.453552
SUCCESS;9 1522753036.4558 1522753036.456841 1522753036.456848 1522753036.456961;0.0011539459228515625,0.0004639625549316406;1522753036.457406
SUCCESS;10 1522753046.456977 1522753046.457959 1522753046.457967 1522753046.458076;0.00109100341796875,0.00043654441833496094;1522753046.458538
SUCCESS;11 1522753056.462226 1522753056.463229 1522753056.463236 1522753056.463344;0.0011110305786132812,0.0004475116729736328;1522753056.463794
SUCCESS;12 1522753066.463459 1522753066.464457 1522753066.464464 1522753066.464568;0.0011019706726074219,0.0004470348358154297;1522753066.465019
SUCCESS;13 1522753076.467712 1522753076.468669 1522753076.468675 1522753076.468769;0.001051187515258789,0.00043141841888427734;1522753076.469211
SUCCESS;14 1522753086.468564 1522753086.469538 1522753086.469545 1522753086.46965;0.0010790824890136719,0.0004343986511230469;1522753086.4701366
SUCCESS;15 1522753096.4715 1522753096.472402 1522753096.472408 1522753096.472502;0.0009961128234863281,0.00040411949157714844;1522753096.4729824
SUCCESS;16 1522753106.476517 1522753106.477787 1522753106.477795 1522753106.477923;0.0013980865478515625,0.0005710124969482422;1522753106.4784162
SUCCESS;17 1522753116.480987 1522753116.48199 1522753116.481997 1522753116.482142;0.0011479854583740234,0.0004290342330932617;1522753116.482619
SUCCESS;18 1522753126.483401 1522753126.484313 1522753126.484319 1522753126.484399;0.0009920597076416016,0.0004159212112426758;1522753126.4848502
SUCCESS;19 1522753136.483499 1522753136.484442 1522753136.484449 1522753136.484588;0.0010819435119628906,0.0004019737243652344;1522753136.485096
SUCCESS;20 1522753146.483743 1522753146.484972 1522753146.484981 1522753146.485166;0.0014140605926513672,0.0005220174789428711;1522753146.4856439
SUCCESS;21 1522753156.486429 1522753156.487334 1522753156.48734 1522753156.487424;0.0009889602661132812,0.0004105567932128906;1522753156.4878798
SUCCESS;22 1522753166.491317 1522753166.492329 1522753166.492334 1522753166.492423;0.0011010169982910156,0.00046133995056152344;1522753166.4928775
SUCCESS;23 1522753176.493094 1522753176.494055 1522753176.494062 1522753176.494183;0.0010821819305419922,0.00041997432708740234;1522753176.4946456
SUCCESS;24 1522753186.493631 1522753186.494748 1522753186.494755 1522753186.494879;0.0012412071228027344,0.0004966259002685547;1522753186.4953446
SUCCESS;25 1522753196.495102 1522753196.495989 1522753196.495998 1522753196.496102;0.0009913444519042969,0.0003914833068847656;1522753196.4965565
SUCCESS;26 1522753206.499389 1522753206.500572 1522753206.500577 1522753206.500676;0.0012819766998291016,0.0005420446395874023;1522753206.5011296
SUCCESS;27 1522753216.503725 1522753216.50465 1522753216.504656 1522753216.504756;0.0010249614715576172,0.0004125833511352539;1522753216.5052166
SUCCESS;28 1522753226.507585 1522753226.508584 1522753226.508591 1522753226.508694;0.0011019706726074219,0.00044798851013183594;1522753226.5091596
SUCCESS;29 1522753236.510353 1522753236.511376 1522753236.511383 1522753236.511515;0.0011546611785888672,0.00044548511505126953;1522753236.5119824
SUCCESS;30 1522753246.51168 1522753246.512713 1522753246.512719 1522753246.512801;0.0011150836944580078,0.0004755258560180664;1522753246.5132406
SUCCESS;31 1522753256.515041 1522753256.515656 1522753256.515661 1522753256.515734;0.0006878376007080078,0.0002709627151489258;1522753256.5161614
SUCCESS;32 1522753266.518772 1522753266.519942 1522753266.519949 1522753266.520076;0.0012972354888916016,0.000521540641784668;1522753266.520444
SUCCESS;33 1522753276.522288 1522753276.523488 1522753276.523495 1522753276.523593;0.0012979507446289062,0.0005509853363037109;1522753276.523934
SUCCESS;34 1522753286.522929 1522753286.523929 1522753286.523939 1522753286.524103;0.0011641979217529297,0.00041806697845458984;1522753286.5244598
SUCCESS;35 1522753296.523124 1522753296.524093 1522753296.524099 1522753296.524183;0.0010528564453125,0.0004425048828125;1522753296.5245118
SUCCESS;36 1522753306.527224 1522753306.528215 1522753306.528223 1522753306.528339;0.0011067390441894531,0.0004374980926513672;1522753306.528665
SUCCESS;37 1522753316.528669 1522753316.52981 1522753316.529817 1522753316.529947;0.0012707710266113281,0.0005054473876953125;1522753316.530293
SUCCESS;38 1522753326.530409 1522753326.531444 1522753326.531451 1522753326.531569;0.0011529922485351562,0.0004584789276123047;1522753326.531896
SUCCESS;39 1522753336.533857 1522753336.534848 1522753336.534857 1522753336.534949;0.0010828971862792969,0.0004494190216064453;1522753336.5352721
SUCCESS;40 1522753346.538885 1522753346.540127 1522753346.540132 1522753346.540238;0.0013477802276611328,0.0005680322647094727;1522753346.5407226
SUCCESS;41 1522753356.541747 1522753356.542891 1522753356.542898 1522753356.543009;0.001255035400390625,0.0005164146423339844;1522753356.5435066
SUCCESS;42 1522753366.542454 1522753366.543481 1522753366.543488 1522753366.5436;0.0011391639709472656,0.00045752525329589844;1522753366.5440896
SUCCESS;43 1522753376.543949 1522753376.544928 1522753376.544935 1522753376.545059;0.0011031627655029297,0.00042760372161865234;1522753376.5455556
SUCCESS;44 1522753386.546994 1522753386.547949 1522753386.547954 1522753386.548031;0.001032114028930664,0.00043904781341552734;1522753386.5485225
SUCCESS;45 1522753396.55111 1522753396.552078 1522753396.552086 1522753396.552201;0.0010828971862792969,0.0004265308380126953;1522753396.5526962
